URL,TITRE,QUANTITE,PRIX,PRIX_KILOS,VALEUR ÉNERGÉTIQUE (KJ),VALEUR ÉNERGÉTIQUE (KCAL),MATIÈRES GRASSES,ACIDES GRAS SATURÉS,GLUCIDES,SUCRES,PROTÉINES,SEL,FIBRES ALIMENTAIRES,VITAMINE D,CALCIUM,VITAMINE B6,ACIDES GRAS MONO-INSATURÉS,VITAMINE B12
https://www.carrefour.fr/p/riz-au-lait-vanille-teurgoule-de-janville-3479574112612?t=R04F06,Riz au lait vanille TEURGOULE DE JANVILLE ,le pot de 750 g,2.70,3.60,,,,,,,,,,,,,,
https://www.carrefour.fr/p/yaourt-bio-nature-au-lait-de-brebis-carrefour-bio-3560071180485?t=R04F06,Yaourt bio nature au lait de brebis CARREFOUR BIO ,les 2 pots de 150g,1.60,5.33,520,125,10,7.5,4,2.8,4.8,0.11,,,,,,
https://www.carrefour.fr/p/yaourt-grec-traditionnel-0-mg-authentique-grec-by-ifantis-5201310005340?t=R04F06,Yaourt grec traditionnel 0% MG AUTHENTIQUE GREC BY IFANTIS ,le pot de 125g,1.50,12.00,211,50,0,0,7.1,7.1,5.3,0.1,,,,,,
https://www.carrefour.fr/p/yaourt-vanille-les-laitiers-responsables-yoplait-3329770064447?t=R04F06,Yaourt vanille LES LAITIERS RESPONSABLES - YOPLAIT ,les 4 pots de 120g,1.59,3.31,387,92,2.8,1.9,12.5,11.7,3.3,0.13,,,,,,
https://www.carrefour.fr/p/yaourt-nature-a-la-grecque-bio-yaos-nestle-3023290019658?t=R04F06,Yaourt nature à la grecque  Bio Yaos Nestle ,les 4 pots de 125g,2.25,4.50,450,108,8.5,5.7,4.8,4.8,3.2,0.13,,,,,,
https://www.carrefour.fr/p/yaourt-et-creme-a-la-creme-de-chataigne-pechalou-3339526062108?t=R04F06,Yaourt et crème à la crème de châtaigne PECHALOU ,le pot de 500 g,2.23,4.46,,,,,,,,,,,,,,
https://www.carrefour.fr/p/yaourt-au-lait-de-chevre-vanille-petit-billy-3273220630778?t=R04F06,Yaourt au lait de chèvre/vanille PETIT BILLY ,les 4 pots de 100g,2.24,5.60,435,103,4,2.8,13,12.2,3.8,0.08,,,,,,
https://www.carrefour.fr/p/yaourt-brasse-nature-au-lait-de-brebis-soignon-3523230049412?t=R04F06,Yaourt brassé nature au lait de brebis SOIGNON ,les 4 pots - 440g,2.55,5.80,375,90,6.4,4.6,2.6,2.6,5.5,0.12,0,,0.17,,,
https://www.carrefour.fr/p/yaourt-a-boire-parfum-fraise-carrefour-3560071015411?t=R04F06,Yaourt à boire parfum fraise CARREFOUR ,la bouteille de 850g,1.28,1.51,296,70,1.3,0.8,12,12,2.7,0.1,,,120,,,
https://www.carrefour.fr/p/yaourt-a-boire-fraise-banane-yop-3329770063334?t=R04F06,Yaourt à boire fraise banane YOP ,la bouteille de 825g,1.89,2.29,277,65,0.8,0.5,10.6,10.6,3,0.12,,0,0.12,,,
https://www.carrefour.fr/p/yaourt-a-boire-citron-yop-3329770063310?t=R04F06,Yaourt à boire citron YOP ,la bouteille de 825g,1.89,2.29,278,66,0.8,0.6,10.5,10.5,3,0.12,,0,0.12,,,
https://www.carrefour.fr/p/yaourts-bio-sur-lit-de-myrtille-carrefour-bio-3560070943678?t=R04F06,Yaourts bio sur lit de myrtille CARREFOUR BIO ,les 2 pots de 125g,0.99,3.96,410,97,2.8,1.9,15,14,3,0.11,,,,,,
